Unnamed: 0,Borough,Borough/Citywide Office (B/CO),District,School,School Name_x,School Category,Program,Language,Language (Translated),General/Special Education,Special Education Model,fiscal_year,system_code,location_code,location_name,BEDS,Managed_by_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,open_date,Status_descriptions,Primary_building_code,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Tier_2_Support_Location_Name,HighSchool_Network_Location_Code,HighSchool_Network_Name,HighSchool_Network_Superintendent,Community_district 1,Police_precinct,DBN,School Name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,SUFFIX,POP100,GEOID_x,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME_x,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,mergeid,GEOID_y,NAME_y,total_estimate,white_nonhispanic_estimate,black_nonhispanic_estimate,native_nonhispanic_estimate,asian_nonhispanic_estimate,someother_nonhispanic_estimate,two_or_more_nonhispanic_estimate,hispanic_estimate,median_income_estimate,percent_white_nonhispanic_estimate,percent_black_nonhispanic_estimate,percent_native_nonhispanic_estimate,percent_asian_nonhispanic_estimate,percent_someother_nonhispanic_estimate,percent_two_or_more_nonhispanic_estimate,percent_hispanic_estimate
0.0,Manhattan,Manhattan,1.0,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,2020.0,01M020,M020,P.S. 020 Anna Silver,310100010020.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1963-07-01 00:00:00+00:00,Open,M020,166 ESSEX STREET,NY,988044.0,202068.0,-73.986312,40.721305,103.0,1.0,3001.0,1003550001.0,MN27,Chinatown,SARAH PINTO VIAGRAN,Principal,212-254-9577,212-254-3526,1.0,1.0,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01M020,P.S. 020 Anna Silver,2016-17,540.0,41.0,83.0,83.0,92.0,95.0,77.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.491,275.0,0.509,175.0,0.324,52.0,0.096,264.0,0.489,15.0,0.028,7.0,0.013,27.0,0.05,0.0,0.0,116.0,0.215,93.0,0.172,315,58.3%,67.7%,-2147483648.0,0.0,360610030013002.0,40.7214874,3002.0,0.0,36.0,3002.0,210701008618889.0,BK,40.7214874,S,Block 3002,2885723.0,003001,-73.9862293,3.0,10664.0,0.0,-73.9862293,G5040,L,U,061,36061003001.0,36061003001.0,"Census Tract 30.01, New York County, New York",3815.0,2084.0,214.0,0.0,530.0,0.0,0.0,747.0,70057.0,0.546264744429882,0.05609436435124508,0.0,0.13892529488859764,0.0,0.0,0.19580602883355178
1.0,Manhattan,Manhattan,1.0,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,2020.0,01M020,M020,P.S. 020 Anna Silver,310100010020.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1963-07-01 00:00:00+00:00,Open,M020,166 ESSEX STREET,NY,988044.0,202068.0,-73.986312,40.721305,103.0,1.0,3001.0,1003550001.0,MN27,Chinatown,SARAH PINTO VIAGRAN,Principal,212-254-9577,212-254-3526,1.0,1.0,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01M020,P.S. 020 Anna Silver,2017-18,497.0,34.0,71.0,82.0,69.0,89.0,83.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.491,253.0,0.509,147.0,0.296,51.0,0.103,264.0,0.531,14.0,0.028,4.0,0.008,16.0,0.032,1.0,0.002,118.0,0.237,86.0,0.173,366,73.6%,80.0%,-2147483648.0,0.0,360610030013002.0,40.7214874,3002.0,0.0,36.0,3002.0,210701008618889.0,BK,40.7214874,S,Block 3002,2885723.0,003001,-73.9862293,3.0,10664.0,0.0,-73.9862293,G5040,L,U,061,36061003001.0,36061003001.0,"Census Tract 30.01, New York County, New York",3815.0,2084.0,214.0,0.0,530.0,0.0,0.0,747.0,70057.0,0.546264744429882,0.05609436435124508,0.0,0.13892529488859764,0.0,0.0,0.19580602883355178
2.0,Manhattan,Manhattan,1.0,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,2020.0,01M020,M020,P.S. 020 Anna Silver,310100010020.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1963-07-01 00:00:00+00:00,Open,M020,166 ESSEX STREET,NY,988044.0,202068.0,-73.986312,40.721305,103.0,1.0,3001.0,1003550001.0,MN27,Chinatown,SARAH PINTO VIAGRAN,Principal,212-254-9577,212-254-3526,1.0,1.0,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01M020,P.S. 020 Anna Silver,2018-19,481.0,42.0,61.0,69.0,76.0,67.0,90.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.497,242.0,0.503,138.0,0.287,66.0,0.137,239.0,0.497,12.0,0.025,3.0,0.006,22.0,0.046,1.0,0.002,117.0,0.243,63.0,0.131,326,67.8%,75.4%,-2147483648.0,0.0,360610030013002.0,40.7214874,3002.0,0.0,36.0,3002.0,210701008618889.0,BK,40.7214874,S,Block 3002,2885723.0,003001,-73.9862293,3.0,10664.0,0.0,-73.9862293,G5040,L,U,061,36061003001.0,36061003001.0,"Census Tract 30.01, New York County, New York",3815.0,2084.0,214.0,0.0,530.0,0.0,0.0,747.0,70057.0,0.546264744429882,0.05609436435124508,0.0,0.13892529488859764,0.0,0.0,0.19580602883355178
3.0,Manhattan,Manhattan,1.0,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,2020.0,01M020,M020,P.S. 020 Anna Silver,310100010020.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1963-07-01 00:00:00+00:00,Open,M020,166 ESSEX STREET,NY,988044.0,202068.0,-73.986312,40.721305,103.0,1.0,3001.0,1003550001.0,MN27,Chinatown,SARAH PINTO VIAGRAN,Principal,212-254-9577,212-254-3526,1.0,1.0,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01M020,P.S. 020 Anna Silver,2019-20,464.0,41.0,63.0,61.0,71.0,76.0,65.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.502,231.0,0.498,120.0,0.259,58.0,0.125,239.0,0.515,10.0,0.022,5.0,0.011,31.0,0.067,1.0,0.002,106.0,0.228,61.0,0.131,354,76.3%,78.4%,-2147483648.0,0.0,360610030013002.0,40.7214874,3002.0,0.0,36.0,3002.0,210701008618889.0,BK,40.7214874,S,Block 3002,2885723.0,003001,-73.9862293,3.0,10664.0,0.0,-73.9862293,G5040,L,U,061,36061003001.0,36061003001.0,"Census Tract 30.01, New York County, New York",3815.0,2084.0,214.0,0.0,530.0,0.0,0.0,747.0,70057.0,0.546264744429882,0.05609436435124508,0.0,0.13892529488859764,0.0,0.0,0.19580602883355178
4.0,Manhattan,Manhattan,1.0,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,2020.0,01M020,M020,P.S. 020 Anna Silver,310100010020.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1963-07-01 00:00:00+00:00,Open,M020,166 ESSEX STREET,NY,988044.0,202068.0,-73.986312,40.721305,103.0,1.0,3001.0,1003550001.0,MN27,Chinatown,SARAH PINTO VIAGRAN,Principal,212-254-9577,212-254-3526,1.0,1.0,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01M020,P.S. 020 Anna Silver,2020-21,412.0,37.0,58.0,52.0,60.0,66.0,74.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.488,211.0,0.512,102.0,0.248,55.0,0.133,215.0,0.522,6.0,0.015,3.0,0.007,30.0,0.073,1.0,0.002,90.0,0.218,49.0,0.119,292,70.9%,76.2%,-2147483648.0,0.0,360610030013002.0,40.7214874,3002.0,0.0,36.0,3002.0,210701008618889.0,BK,40.7214874,S,Block 3002,2885723.0,003001,-73.9862293,3.0,10664.0,0.0,-73.9862293,G5040,L,U,061,36061003001.0,36061003001.0,"Census Tract 30.01, New York County, New York",3815.0,2084.0,214.0,0.0,530.0,0.0,0.0,747.0,70057.0,0.546264744429882,0.05609436435124508,0.0,0.13892529488859764,0.0,0.0,0.19580602883355178
5.0,Manhattan,Manhattan,1.0,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,2020.0,01M020,M020,P.S. 020 Anna Silver,310100010020.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1963-07-01 00:00:00+00:00,Open,M020,166 ESSEX STREET,NY,988044.0,202068.0,-73.986312,40.721305,103.0,1.0,3001.0,1003550001.0,MN27,Chinatown,SARAH PINTO VIAGRAN,Principal,212-254-9577,212-254-3526,1.0,1.0,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01M020,P.S. 020 Anna Silver,2016-17,540.0,41.0,83.0,83.0,92.0,95.0,77.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.491,275.0,0.509,175.0,0.324,52.0,0.096,264.0,0.489,15.0,0.028,7.0,0.013,27.0,0.05,0.0,0.0,116.0,0.215,93.0,0.172,315,58.3%,67.7%,-2147483648.0,0.0,360610030013002.0,40.7214874,3002.0,0.0,36.0,3002.0,210701008618889.0,BK,40.7214874,S,Block 3002,2885723.0,003001,-73.9862293,3.0,10664.0,0.0,-73.9862293,G5040,L,U,061,36061003001.0,36061003001.0,"Census Tract 30.01, New York County, New York",3815.0,2084.0,214.0,0.0,530.0,0.0,0.0,747.0,70057.0,0.546264744429882,0.05609436435124508,0.0,0.13892529488859764,0.0,0.0,0.19580602883355178
6.0,Manhattan,Manhattan,1.0,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,2020.0,01M020,M020,P.S. 020 Anna Silver,310100010020.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1963-07-01 00:00:00+00:00,Open,M020,166 ESSEX STREET,NY,988044.0,202068.0,-73.986312,40.721305,103.0,1.0,3001.0,1003550001.0,MN27,Chinatown,SARAH PINTO VIAGRAN,Principal,212-254-9577,212-254-3526,1.0,1.0,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01M020,P.S. 020 Anna Silver,2017-18,497.0,34.0,71.0,82.0,69.0,89.0,83.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.491,253.0,0.509,147.0,0.296,51.0,0.103,264.0,0.531,14.0,0.028,4.0,0.008,16.0,0.032,1.0,0.002,118.0,0.237,86.0,0.173,366,73.6%,80.0%,-2147483648.0,0.0,360610030013002.0,40.7214874,3002.0,0.0,36.0,3002.0,210701008618889.0,BK,40.7214874,S,Block 3002,2885723.0,003001,-73.9862293,3.0,10664.0,0.0,-73.9862293,G5040,L,U,061,36061003001.0,36061003001.0,"Census Tract 30.01, New York County, New York",3815.0,2084.0,214.0,0.0,530.0,0.0,0.0,747.0,70057.0,0.546264744429882,0.05609436435124508,0.0,0.13892529488859764,0.0,0.0,0.19580602883355178
7.0,Manhattan,Manhattan,1.0,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,2020.0,01M020,M020,P.S. 020 Anna Silver,310100010020.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1963-07-01 00:00:00+00:00,Open,M020,166 ESSEX STREET,NY,988044.0,202068.0,-73.986312,40.721305,103.0,1.0,3001.0,1003550001.0,MN27,Chinatown,SARAH PINTO VIAGRAN,Principal,212-254-9577,212-254-3526,1.0,1.0,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01M020,P.S. 020 Anna Silver,2018-19,481.0,42.0,61.0,69.0,76.0,67.0,90.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.497,242.0,0.503,138.0,0.287,66.0,0.137,239.0,0.497,12.0,0.025,3.0,0.006,22.0,0.046,1.0,0.002,117.0,0.243,63.0,0.131,326,67.8%,75.4%,-2147483648.0,0.0,360610030013002.0,40.7214874,3002.0,0.0,36.0,3002.0,210701008618889.0,BK,40.7214874,S,Block 3002,2885723.0,003001,-73.9862293,3.0,10664.0,0.0,-73.9862293,G5040,L,U,061,36061003001.0,36061003001.0,"Census Tract 30.01, New York County, New York",3815.0,2084.0,214.0,0.0,530.0,0.0,0.0,747.0,70057.0,0.546264744429882,0.05609436435124508,0.0,0.13892529488859764,0.0,0.0,0.19580602883355178
8.0,Manhattan,Manhattan,1.0,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,2020.0,01M020,M020,P.S. 020 Anna Silver,310100010020.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1963-07-01 00:00:00+00:00,Open,M020,166 ESSEX STREET,NY,988044.0,202068.0,-73.986312,40.721305,103.0,1.0,3001.0,1003550001.0,MN27,Chinatown,SARAH PINTO VIAGRAN,Principal,212-254-9577,212-254-3526,1.0,1.0,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01M020,P.S. 020 Anna Silver,2019-20,464.0,41.0,63.0,61.0,71.0,76.0,65.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.502,231.0,0.498,120.0,0.259,58.0,0.125,239.0,0.515,10.0,0.022,5.0,0.011,31.0,0.067,1.0,0.002,106.0,0.228,61.0,0.131,354,76.3%,78.4%,-2147483648.0,0.0,360610030013002.0,40.7214874,3002.0,0.0,36.0,3002.0,210701008618889.0,BK,40.7214874,S,Block 3002,2885723.0,003001,-73.9862293,3.0,10664.0,0.0,-73.9862293,G5040,L,U,061,36061003001.0,36061003001.0,"Census Tract 30.01, New York County, New York",3815.0,2084.0,214.0,0.0,530.0,0.0,0.0,747.0,70057.0,0.546264744429882,0.05609436435124508,0.0,0.13892529488859764,0.0,0.0,0.19580602883355178
9.0,Manhattan,Manhattan,1.0,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,2020.0,01M020,M020,P.S. 020 Anna Silver,310100010020.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1963-07-01 00:00:00+00:00,Open,M020,166 ESSEX STREET,NY,988044.0,202068.0,-73.986312,40.721305,103.0,1.0,3001.0,1003550001.0,MN27,Chinatown,SARAH PINTO VIAGRAN,Principal,212-254-9577,212-254-3526,1.0,1.0,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,01M020,P.S. 020 Anna Silver,2020-21,412.0,37.0,58.0,52.0,60.0,66.0,74.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.488,211.0,0.512,102.0,0.248,55.0,0.133,215.0,0.522,6.0,0.015,3.0,0.007,30.0,0.073,1.0,0.002,90.0,0.218,49.0,0.119,292,70.9%,76.2%,-2147483648.0,0.0,360610030013002.0,40.7214874,3002.0,0.0,36.0,3002.0,210701008618889.0,BK,40.7214874,S,Block 3002,2885723.0,003001,-73.9862293,3.0,10664.0,0.0,-73.9862293,G5040,L,U,061,36061003001.0,36061003001.0,"Census Tract 30.01, New York County, New York",3815.0,2084.0,214.0,0.0,530.0,0.0,0.0,747.0,70057.0,0.546264744429882,0.05609436435124508,0.0,0.13892529488859764,0.0,0.0,0.19580602883355178
